                  1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17 
        1         -  1.000000  2.000000  2.000000  3.000000  4.000000  5.000000  3.000000  4.000000  5.000000  5.000000  6.000000  3.000000  4.000000  5.000000  6.000000  7.000000 
        2  1.000000         -  1.000000  1.000000  2.000000  3.000000  4.000000  2.000000  3.000000  4.000000  4.000000  5.000000  2.000000  3.000000  4.000000  5.000000  6.000000 
        3  2.000000  1.000000         -  2.000000  3.000000  2.000000  3.000000  3.000000  4.000000  4.000000  3.000000  4.000000  1.000000  2.000000  3.000000  4.000000  5.000000 
        4  2.000000  1.000000  2.000000         -  1.000000  2.000000  3.000000  1.000000  2.000000  3.000000  4.000000  5.000000  3.000000  4.000000  5.000000  6.000000  7.000000 
        5  3.000000  2.000000  3.000000  1.000000         -  1.000000  2.000000  2.000000  3.000000  4.000000  4.000000  5.000000  2.000000  3.000000  4.000000  5.000000  6.000000 
        6  4.000000  3.000000  2.000000  2.000000  1.000000         -  1.000000  3.000000  4.000000  4.000000  3.000000  4.000000  1.000000  2.000000  3.000000  4.000000  5.000000 
        7  5.000000  4.000000  3.000000  3.000000  2.000000  1.000000         -  4.000000  4.000000  3.000000  2.000000  3.000000  2.000000  1.000000  2.000000  3.000000  4.000000 
        8  3.000000  2.000000  3.000000  1.000000  2.000000  3.000000  4.000000         -  1.000000  2.000000  3.000000  4.000000  4.000000  4.000000  5.000000  6.000000  7.000000 
        9  4.000000  3.000000  4.000000  2.000000  3.000000  4.000000  4.000000  1.000000         -  1.000000  2.000000  3.000000  4.000000  3.000000  4.000000  5.000000  6.000000 
       10  5.000000  4.000000  4.000000  3.000000  4.000000  4.000000  3.000000  2.000000  1.000000         -  1.000000  2.000000  3.000000  2.000000  3.000000  4.000000  5.000000 
       11  5.000000  4.000000  3.000000  4.000000  4.000000  3.000000  2.000000  3.000000  2.000000  1.000000         -  1.000000  2.000000  1.000000  2.000000  3.000000  4.000000 
       12  6.000000  5.000000  4.000000  5.000000  5.000000  4.000000  3.000000  4.000000  3.000000  2.000000  1.000000         -  3.000000  2.000000  1.000000  2.000000  3.000000 
       13  3.000000  2.000000  1.000000  3.000000  2.000000  1.000000  2.000000  4.000000  4.000000  3.000000  2.000000  3.000000         -  1.000000  2.000000  3.000000  4.000000 
       14  4.000000  3.000000  2.000000  4.000000  3.000000  2.000000  1.000000  4.000000  3.000000  2.000000  1.000000  2.000000  1.000000         -  1.000000  2.000000  3.000000 
       15  5.000000  4.000000  3.000000  5.000000  4.000000  3.000000  2.000000  5.000000  4.000000  3.000000  2.000000  1.000000  2.000000  1.000000         -  1.000000  2.000000 
       16  6.000000  5.000000  4.000000  6.000000  5.000000  4.000000  3.000000  6.000000  5.000000  4.000000  3.000000  2.000000  3.000000  2.000000  1.000000         -  1.000000 
       17  7.000000  6.000000  5.000000  7.000000  6.000000  5.000000  4.000000  7.000000  6.000000  5.000000  4.000000  3.000000  4.000000  3.000000  2.000000  1.000000         - 
